iter	Passed	Remaining
234	502	1635
235	503	1629
236	504	1624
237	505	1618
238	506	1613
239	507	1608
240	509	1603
241	510	1598
242	511	1593
243	512	1588
244	513	1583
245	515	1579
246	516	1575
247	517	1570
248	519	1566
249	520	1562
250	522	1557
251	523	1553
252	524	1548
253	525	1544
254	527	1540
255	528	1536
256	530	1532
257	531	1528
258	532	1524
259	534	1520
260	535	1516
261	536	1512
262	538	1508
263	539	1504
264	540	1499
265	542	1495
266	543	1492
267	545	1488
268	546	1484
269	547	1480
270	548	1476
271	550	1472
272	551	1467
273	552	1463
274	553	1459
275	554	1454
276	555	1450
277	557	1446
278	558	1442
279	559	1439
280	560	1434
281	561	1430
282	562	1426
283	563	1421
284	565	1417
285	566	1413
286	567	1409
287	568	1405
288	569	1401
289	570	1397
290	572	1394
291	573	1390
292	574	1386
293	575	1382
294	576	1378
295	578	1374
296	579	1370
297	580	1367
298	581	1363
299	582	1359
300	583	1355
301	584	1351
302	586	1348
303	587	1345
304	588	1341
305	589	1337
306	590	1333
307	592	1330
308	593	1326
309	594	1323
310	595	1319
311	596	1315
312	597	1312
313	598	1308
314	600	1305
315	601	1302
316	602	1298
317	603	1294
318	604	1291
319	606	1287
320	607	1284
321	608	1280
322	609	1277
323	610	1273
324	611	1270
325	612	1266
326	613	1263
327	615	1260
328	616	1257
329	617	1253
330	618	1250
331	619	1246
332	620	1243
333	621	1240
334	623	1236
335	624	1233
336	625	1230
337	626	1226
338	627	1223
339	628	1220
340	630	1217
341	631	1214
342	632	1211
343	633	1208
344	634	1204
345	635	1201
346	636	1198
347	638	1195
348	639	1192
349	640	1188
350	641	1185
351	642	1182
352	643	1179
353	644	1176
354	645	1173
355	647	1170
356	648	1167
357	649	1165
358	650	1162
359	652	1159
360	653	1156
361	654	1153
362	655	1150
363	656	1147
364	657	1144
365	659	1141
366	660	1138
367	661	1136
368	662	1133
369	663	1130
370	664	1126
371	665	1123
372	666	1120
373	667	1117
374	668	1114
375	670	1112
376	671	1109
377	672	1106
378	673	1103
379	674	1101
380	676	1098
381	677	1095
382	678	1092
383	679	1090
384	680	1087
385	681	1084
386	682	1081
387	683	1078
388	685	1075
389	686	1073
390	687	1070
391	688	1068
392	689	1065
393	690	1062
394	692	1059
395	693	1057
396	694	1054
397	695	1051
398	696	1049
399	697	1046
400	698	1043
401	699	1040
402	700	1038
403	702	1036
404	703	1033
405	704	1030
406	705	1028
407	706	1025
408	707	1023
409	709	1020
410	710	1017
411	711	1015
412	712	1012
413	713	1009
414	714	1007
415	715	1004
416	717	1002
417	718	1000
418	719	997
419	720	994
420	721	992
421	722	989
422	723	987
423	724	984
424	726	982
425	727	979
426	728	977
427	729	974
428	730	972
429	732	970
430	734	969
431	735	967
432	737	965
433	738	963
434	740	961
435	741	959
436	743	957
437	744	955
438	746	953
439	747	951
440	749	950
441	750	948
442	752	946
443	754	944
444	755	942
445	757	940
446	758	938
447	760	936
448	761	934
449	763	932
450	764	930
451	766	928
452	767	926
453	769	924
454	770	923
455	772	921
456	773	919
457	775	917
458	776	915
459	778	913
460	779	911
461	781	909
462	782	907
463	784	905
464	785	904
465	787	902
466	788	900
467	790	898
468	791	896
469	793	894
470	794	892
471	796	890
472	798	889
473	799	887
474	801	885
475	802	883
476	804	881
477	805	879
478	807	878
479	808	876
480	810	874
481	811	872
482	813	870
483	815	868
484	816	867
485	818	865
486	819	863
487	821	861
488	822	859
489	824	857
490	825	855
491	827	854
492	828	852
493	830	850
494	831	848
495	833	846
496	834	844
497	836	842
498	837	841
499	839	839
500	840	837
501	842	835
502	843	833
503	845	831
504	846	830
505	848	828
506	849	826
507	851	824
508	852	822
509	854	820
510	855	818
511	857	816
512	858	815
513	860	813
514	861	811
515	863	809
516	864	807
517	866	806
518	867	804
519	869	802
520	870	800
521	871	798
522	873	796
523	875	794
524	876	793
525	878	791
526	879	789
527	881	787
528	882	785
529	884	784
530	885	782
531	887	780
532	888	778
533	890	776
534	891	775
535	893	773
536	894	771
537	896	769
538	897	768
539	899	766
540	901	764
541	902	762
542	904	760
543	905	759
544	907	757
545	908	755
546	910	753
547	911	751
548	913	750
549	914	748
550	916	746
551	917	744
552	919	742
553	920	741
554	922	739
555	923	737
556	925	735
557	926	734
558	928	732
559	929	730
560	931	728
561	932	727
562	934	725
563	936	723
564	937	721
565	939	720
566	940	718
567	942	716
568	943	714
569	945	713
570	946	711
571	948	709
572	949	707
573	951	705
574	952	704
575	954	702
576	955	700
577	957	698
578	958	697
579	960	695
580	962	693
581	963	692
582	965	690
583	966	688
584	968	686
585	969	684
586	971	683
587	972	681
588	974	679
589	975	678
590	977	676
591	978	674
592	980	672
593	981	671
594	983	669
595	984	667
596	986	665
597	987	664
598	989	662
599	990	660
600	992	658
601	993	657
602	995	655
603	996	653
604	998	651
605	999	650
606	1001	648
607	1003	646
608	1004	645
609	1006	643
610	1007	641
611	1009	639
612	1010	638
613	1012	636
614	1013	634
615	1015	632
616	1016	631
617	1018	629
618	1020	627
619	1021	626
620	1022	624
621	1024	622
622	1025	620
623	1027	619
624	1029	617
625	1030	615
626	1031	613
627	1033	612
628	1034	610
629	1036	608
630	1037	606
631	1039	605
632	1040	603
633	1042	601
634	1043	599
635	1045	598
636	1047	596
637	1048	594
638	1049	593
639	1051	591
640	1052	589
641	1054	588
642	1055	586
643	1057	584
644	1059	582
645	1060	581
646	1062	579
647	1063	577
648	1065	576
649	1067	574
650	1068	572
651	1070	571
652	1072	569
653	1073	568
654	1075	566
655	1077	564
656	1078	563
657	1080	561
658	1081	559
659	1083	558
660	1084	556
661	1086	554
662	1087	553
663	1089	551
664	1090	549
665	1092	547
666	1094	546
667	1095	544
668	1097	542
669	1098	541
670	1100	539
671	1101	537
672	1103	536
673	1104	534
674	1106	532
675	1107	531
676	1109	529
677	1111	527
678	1112	526
679	1114	524
680	1115	522
681	1117	520
682	1118	519
683	1120	517
684	1121	515
685	1123	514
686	1124	512
687	1126	510
688	1127	509
689	1129	507
690	1130	505
691	1132	503
692	1133	502
693	1135	500
694	1136	498
695	1138	497
696	1139	495
697	1141	493
698	1143	492
699	1144	490
700	1146	488
701	1147	487
702	1149	485
703	1150	483
704	1152	482
705	1153	480
706	1154	478
707	1156	476
708	1157	475
709	1159	473
710	1160	471
711	1162	470
712	1163	468
713	1165	466
714	1167	465
715	1168	463
716	1170	461
717	1171	460
718	1173	458
719	1175	456
720	1176	455
721	1178	453
722	1179	451
723	1181	450
724	1182	448
725	1184	447
726	1186	445
727	1187	443
728	1189	442
729	1190	440
730	1192	438
731	1193	437
732	1195	435
733	1197	433
734	1199	432
735	1200	430
736	1202	428
737	1203	427
738	1205	425
739	1206	423
740	1208	422
741	1209	420
742	1211	418
743	1212	417
744	1214	415
745	1215	413
746	1217	412
747	1218	410
748	1220	408
749	1221	407
750	1223	405
751	1224	403
752	1226	402
753	1228	400
754	1229	398
755	1231	397
756	1232	395
757	1234	394
758	1235	392
759	1237	390
760	1239	389
761	1240	387
762	1242	385
763	1244	384
764	1245	382
765	1247	381
766	1249	379
767	1250	377
768	1252	376
769	1253	374
770	1255	372
771	1256	371
772	1258	369
773	1259	367
774	1261	366
775	1263	364
776	1264	362
777	1266	361
778	1268	359
779	1269	358
780	1271	356
781	1272	354
782	1274	353
783	1275	351
784	1277	349
785	1279	348
786	1280	346
787	1282	344
788	1283	343
789	1285	341
790	1286	340
791	1288	338
792	1290	336
793	1291	335
794	1293	333
795	1294	331
796	1296	330
797	1297	328
798	1299	326
799	1301	325
800	1302	323
801	1304	321
802	1305	320
803	1307	318
804	1308	317
805	1310	315
806	1312	313
807	1313	312
808	1315	310
809	1316	308
810	1318	307
811	1319	305
812	1321	303
813	1322	302
814	1324	300
815	1325	298
816	1327	297
817	1328	295
818	1330	293
819	1331	292
820	1333	290
821	1334	289
822	1336	287
823	1338	285
824	1339	284
825	1341	282
826	1342	280
827	1344	279
828	1345	277
829	1347	275
830	1348	274
831	1350	272
832	1351	270
833	1353	269
834	1354	267
835	1356	266
836	1357	264
837	1359	262
838	1361	261
839	1362	259
840	1364	257
841	1365	256
842	1367	254
843	1368	253
844	1370	251
845	1372	249
846	1373	248
847	1375	246
848	1377	244
849	1378	243
850	1380	241
851	1381	240
852	1383	238
853	1384	236
854	1386	235
855	1387	233
856	1389	231
857	1391	230
858	1392	228
859	1394	226
860	1395	225
861	1397	223
862	1398	222
863	1400	220
864	1401	218
865	1403	217
866	1405	215
867	1406	213
868	1408	212
869	1409	210
870	1411	209
871	1413	207
872	1414	205
873	1416	204
874	1417	202
875	1419	200
876	1420	199
877	1422	197
878	1424	196
879	1425	194
880	1427	192
881	1428	191
882	1429	189
883	1431	187
884	1432	186
885	1434	184
886	1435	182
887	1437	181
888	1439	179
889	1440	178
890	1442	176
891	1443	174
892	1445	173
893	1446	171
894	1448	169
895	1449	168
896	1451	166
897	1453	165
898	1454	163
899	1456	161
900	1457	160
901	1459	158
902	1460	156
903	1463	155
904	1464	153
905	1466	152
906	1467	150
907	1469	148
908	1471	147
909	1472	145
910	1474	144
911	1475	142
912	1477	140
913	1478	139
914	1480	137
915	1481	135
916	1483	134
917	1485	132
918	1486	131
919	1488	129
920	1489	127
921	1491	126
922	1492	124
923	1494	122
924	1496	121
925	1497	119
926	1499	118
927	1500	116
928	1502	114
929	1503	113
930	1505	111
931	1506	109
932	1508	108
933	1509	106
934	1511	105
935	1512	103
936	1514	101
937	1515	100
938	1517	98
939	1519	96
940	1520	95
941	1522	93
942	1523	92
943	1525	90
944	1527	88
945	1528	87
946	1530	85
947	1531	84
948	1533	82
949	1534	80
950	1536	79
951	1537	77
952	1539	75
953	1541	74
954	1542	72
955	1544	71
956	1545	69
957	1547	67
958	1548	66
959	1550	64
960	1551	62
961	1553	61
962	1554	59
963	1556	58
964	1558	56
965	1559	54
966	1561	53
967	1562	51
968	1564	50
969	1566	48
970	1567	46
971	1569	45
972	1570	43
973	1572	41
974	1573	40
975	1575	38
976	1576	37
977	1578	35
978	1580	33
979	1581	32
980	1583	30
981	1584	29
982	1586	27
983	1587	25
984	1589	24
985	1591	22
986	1592	20
987	1594	19
988	1595	17
989	1597	16
990	1598	14
991	1600	12
992	1601	11
993	1603	9
994	1604	8
995	1606	6
996	1608	4
997	1609	3
998	1611	1
999	1612	0
